# PROBLEMA
# total_vehiculos, capacidad_vehiculo
5,250

# DEPOSITO
# id, latitud, longitud
DEPOSITO,46.3432,-72.5432

# CLIENTES
# id, latitud, longitud, demanda
C_001,46.3344,-72.584,13
C_002,46.3153,-72.5927,10
C_003,46.3176,-72.5602,29
C_004,46.3671,-72.5983,27
C_005,46.3438,-72.5552,27
C_006,46.3547,-72.507,19
C_007,46.3805,-72.498,14
C_008,46.3068,-72.5241,26
C_009,46.3273,-72.4869,24
C_010,46.3645,-72.5986,18
C_011,46.3343,-72.575,8
C_012,46.3368,-72.5629,25
C_013,46.2989,-72.5426,14
C_014,46.3566,-72.483,19
C_015,46.3042,-72.4862,30
C_016,46.3077,-72.5071,27
C_017,46.3917,-72.5869,24
C_018,46.3626,-72.6052,8
C_019,46.3088,-72.5211,21
C_020,46.2989,-72.5547,10
C_021,46.3057,-72.5297,20
C_022,46.3263,-72.542,14
C_023,46.389,-72.4834,28
C_024,46.3133,-72.5765,20
C_025,46.3808,-72.5936,30
C_026,46.3424,-72.6027,30
C_027,46.356,-72.5129,27
C_028,46.3935,-72.5938,11
C_029,46.3058,-72.5874,13
C_030,46.3351,-72.4899,25
C_031,46.3251,-72.5451,15
C_032,46.3831,-72.5948,19
C_033,46.3105,-72.6006,17
C_034,46.2912,-72.5018,18
C_035,46.3138,-72.5581,20
C_036,46.3325,-72.5042,25
C_037,46.3002,-72.4957,19
C_038,46.3694,-72.5582,22
C_039,46.3153,-72.499,15
C_040,46.3619,-72.5696,30
C_041,46.3693,-72.5816,30
C_042,46.3642,-72.5775,17
C_043,46.3382,-72.4853,22
C_044,46.3363,-72.492,10
C_045,46.3453,-72.4921,18
C_046,46.3767,-72.5407,16
C_047,46.3374,-72.5722,29
C_048,46.3809,-72.5893,20
C_049,46.3646,-72.5314,27
C_050,46.3633,-72.5528,20

# ESTACIONES_DE_CARGA
# id, nombre, latitud, longitud, conectores, tipo_acceso, tipo_instalacion
10001,Borne Trois-Rivieres Centre,46.3456,-72.5456,J1772,public,MUNI_GOV
10002,Recharge EV Cap-de-la-Madeleine,46.3712,-72.5123,J1772,public,HOTEL
10003,Station Rapide TR Ouest,46.3178,-72.589,CHADEMO J1772COMBO,public,CAR_DEALER
10004,Circuit Electrique Shawinigan Sud,46.3845,-72.5345,J1772,public,RETAIL
10005,Borne IGA Trois-Rivieres,46.3089,-72.5234,J1772,public,RESTAURANT
