# PROBLEMA
# total_vehiculos, capacidad_vehiculo
5,300

# DEPOSITO
# id, latitud, longitud
DEPOSITO,46.500,-72.000

# CLIENTES
# id, latitud, longitud, demanda
C_001,46.124,-73.456,18
C_002,45.893,-71.892,22
C_003,47.234,-70.123,15
C_004,48.567,-68.789,27
C_005,45.341,-74.102,13
C_006,46.678,-72.345,24
C_007,47.901,-69.567,19
C_008,45.012,-73.891,21
C_009,48.234,-65.432,16
C_010,46.456,-71.234,25
C_011,47.678,-74.567,14
C_012,45.789,-70.876,23
C_013,48.901,-67.123,17
C_014,46.012,-72.678,26
C_015,47.123,-69.432,20
C_016,45.654,-74.789,28
C_017,48.765,-66.543,12
C_018,46.876,-71.987,29
C_019,47.987,-68.654,11
C_020,45.432,-73.123,30
C_021,48.543,-64.876,10
C_022,46.654,-72.109,31
C_023,47.765,-70.987,9
C_024,45.876,-74.321,32
C_025,48.987,-67.765,8
C_026,46.321,-71.543,33
C_027,47.432,-69.876,7
C_028,45.543,-73.654,34
C_029,48.654,-65.987,6
C_030,46.765,-72.432,35
C_031,47.876,-68.321,5
C_032,45.987,-74.543,36
C_033,48.109,-66.109,4
C_034,46.987,-71.765,37
C_035,47.109,-70.432,3
C_036,45.765,-73.987,38
C_037,48.432,-64.543,2
C_038,46.543,-72.876,39
C_039,47.654,-69.109,1
C_040,45.109,-74.987,40
C_041,48.876,-67.432,41
C_042,46.234,-71.109,42
C_043,47.345,-70.654,43
C_044,45.456,-73.432,44
C_045,48.567,-65.765,45
C_046,46.678,-72.567,46
C_047,47.789,-68.876,47
C_048,45.891,-74.234,48
C_049,48.901,-66.789,49
C_050,46.012,-71.432,50

# ESTACIONES_DE_CARGA
# id, nombre, latitud, longitud, conectores, tipo_acceso, tipo_instalacion
82842,Nissan Sorel-Tracy,46.024209,-73.154564,J1772,public,CAR_DEALER
82904,Amosphere Complexe Hotelier,48.55973356,-78.10465139,J1772,public,HOTEL
82912,BMR Yamachiche,46.29013734,-72.83629217,J1772,public,RETAIL
82927,Cafe Morgane Jean-Xx-Iii,46.33286975,-72.59311847,J1772,public,RESTAURANT
82938,Château Repotel Henri IV,46.80455099,-71.331625,CHADEMO J1772COMBO,public,HOTEL
