time_s,vehicle_id,soc_wh,max_cap_wh,consumption_wh,charging_flag,soc_pct
0.0,ev_0,17500.0,35000.0,0.0,NULL,50.0
1.0,ev_0,17498.51,35000.0,0.0,NULL,50.0
2.0,ev_0,17495.5,35000.0,0.0,NULL,49.99
3.0,ev_0,17488.87,35000.0,0.0,NULL,49.97
4.0,ev_0,17480.61,35000.0,0.0,NULL,49.94
5.0,ev_0,17468.87,35000.0,0.0,NULL,49.91
5.0,ev_1,17500.0,35000.0,0.0,NULL,50.0
6.0,ev_0,17457.05,35000.0,0.0,NULL,49.88
6.0,ev_1,17499.46,35000.0,0.0,NULL,50.0
7.0,ev_0,17459.55,35000.0,0.0,NULL,49.88
7.0,ev_1,17496.16,35000.0,0.0,NULL,49.99
8.0,ev_0,17453.13,35000.0,0.0,NULL,49.87
8.0,ev_1,17490.98,35000.0,0.0,NULL,49.97
9.0,ev_0,17453.9,35000.0,0.0,NULL,49.87
9.0,ev_1,17482.63,35000.0,0.0,NULL,49.95
10.0,ev_0,17450.84,35000.0,0.0,NULL,49.86
10.0,ev_1,17473.39,35000.0,0.0,NULL,49.92
10.0,ev_2,17500.0,35000.0,0.0,NULL,50.0
11.0,ev_0,17456.07,35000.0,0.0,NULL,49.87
11.0,ev_1,17461.28,35000.0,0.0,NULL,49.89
11.0,ev_2,17499.0,35000.0,0.0,NULL,50.0
12.0,ev_0,17454.51,35000.0,0.0,NULL,49.87
12.0,ev_1,17465.35,35000.0,0.0,NULL,49.9
12.0,ev_2,17496.45,35000.0,0.0,NULL,49.99
13.0,ev_0,17452.85,35000.0,0.0,NULL,49.87
13.0,ev_1,17465.19,35000.0,0.0,NULL,49.9
13.0,ev_2,17491.0,35000.0,0.0,NULL,49.97
14.0,ev_0,17451.47,35000.0,0.0,NULL,49.86
14.0,ev_1,17461.05,35000.0,0.0,NULL,49.89
14.0,ev_2,17482.31,35000.0,0.0,NULL,49.95
15.0,ev_0,17451.67,35000.0,0.0,NULL,49.86
15.0,ev_1,17463.45,35000.0,0.0,NULL,49.9
15.0,ev_2,17474.65,35000.0,0.0,NULL,49.93
15.0,ev_3,17500.0,35000.0,0.0,NULL,50.0
16.0,ev_0,17445.24,35000.0,0.0,NULL,49.84
16.0,ev_1,17456.75,35000.0,0.0,NULL,49.88
16.0,ev_2,17461.91,35000.0,0.0,NULL,49.89
16.0,ev_3,17498.99,35000.0,0.0,NULL,50.0
17.0,ev_0,17445.94,35000.0,0.0,NULL,49.85
17.0,ev_1,17458.38,35000.0,0.0,NULL,49.88
17.0,ev_2,17459.51,35000.0,0.0,NULL,49.88
17.0,ev_3,17496.22,35000.0,0.0,NULL,49.99
18.0,ev_0,17446.9,35000.0,0.0,NULL,49.85
18.0,ev_1,17457.61,35000.0,0.0,NULL,49.88
18.0,ev_2,17459.13,35000.0,0.0,NULL,49.88
18.0,ev_3,17490.0,35000.0,0.0,NULL,49.97
19.0,ev_0,17443.53,35000.0,0.0,NULL,49.84
19.0,ev_1,17457.76,35000.0,0.0,NULL,49.88
19.0,ev_2,17453.2,35000.0,0.0,NULL,49.87
19.0,ev_3,17483.95,35000.0,0.0,NULL,49.95
20.0,ev_0,17442.66,35000.0,0.0,NULL,49.84
20.0,ev_1,17457.42,35000.0,0.0,NULL,49.88
20.0,ev_2,17457.13,35000.0,0.0,NULL,49.88
20.0,ev_3,17477.8,35000.0,0.0,NULL,49.94
20.0,ev_4,17500.0,35000.0,0.0,NULL,50.0
21.0,ev_0,17444.73,35000.0,0.0,NULL,49.84
21.0,ev_1,17451.66,35000.0,0.0,NULL,49.86
21.0,ev_2,17450.45,35000.0,0.0,NULL,49.86
21.0,ev_3,17469.34,35000.0,0.0,NULL,49.91
21.0,ev_4,17498.68,35000.0,0.0,NULL,50.0
22.0,ev_0,17441.96,35000.0,0.0,NULL,49.83
22.0,ev_1,17452.35,35000.0,0.0,NULL,49.86
22.0,ev_2,17456.24,35000.0,0.0,NULL,49.87
22.0,ev_3,17460.07,35000.0,0.0,NULL,49.89
22.0,ev_4,17496.56,35000.0,0.0,NULL,49.99
23.0,ev_0,17441.88,35000.0,0.0,NULL,49.83
23.0,ev_1,17454.27,35000.0,0.0,NULL,49.87
23.0,ev_2,17455.35,35000.0,0.0,NULL,49.87
23.0,ev_3,17460.67,35000.0,0.0,NULL,49.89
23.0,ev_4,17490.87,35000.0,0.0,NULL,49.97
24.0,ev_0,17437.06,35000.0,0.0,NULL,49.82
24.0,ev_1,17453.21,35000.0,0.0,NULL,49.87
24.0,ev_2,17453.11,35000.0,0.0,NULL,49.87
24.0,ev_3,17457.73,35000.0,0.0,NULL,49.88
24.0,ev_4,17484.61,35000.0,0.0,NULL,49.96
25.0,ev_0,17441.15,35000.0,0.0,NULL,49.83
25.0,ev_1,17449.84,35000.0,0.0,NULL,49.86
25.0,ev_2,17449.73,35000.0,0.0,NULL,49.86
25.0,ev_3,17454.64,35000.0,0.0,NULL,49.87
25.0,ev_4,17474.68,35000.0,0.0,NULL,49.93
25.0,ev_5,17500.0,35000.0,0.0,NULL,50.0
26.0,ev_0,17435.15,35000.0,0.0,NULL,49.81
26.0,ev_1,17448.67,35000.0,0.0,NULL,49.85
26.0,ev_2,17449.32,35000.0,0.0,NULL,49.86
26.0,ev_3,17457.81,35000.0,0.0,NULL,49.88
26.0,ev_4,17463.35,35000.0,0.0,NULL,49.9
26.0,ev_5,17499.46,35000.0,0.0,NULL,50.0
27.0,ev_0,17440.34,35000.0,0.0,NULL,49.83
27.0,ev_1,17451.56,35000.0,0.0,NULL,49.86
27.0,ev_2,17449.86,35000.0,0.0,NULL,49.86
27.0,ev_3,17453.2,35000.0,0.0,NULL,49.87
27.0,ev_4,17461.19,35000.0,0.0,NULL,49.89
27.0,ev_5,17497.63,35000.0,0.0,NULL,49.99
28.0,ev_0,17438.82,35000.0,0.0,NULL,49.83
28.0,ev_1,17447.28,35000.0,0.0,NULL,49.85
28.0,ev_2,17445.35,35000.0,0.0,NULL,49.84
28.0,ev_3,17453.77,35000.0,0.0,NULL,49.87
28.0,ev_4,17458.43,35000.0,0.0,NULL,49.88
28.0,ev_5,17492.47,35000.0,0.0,NULL,49.98
29.0,ev_0,17433.11,35000.0,0.0,NULL,49.81
29.0,ev_1,17445.85,35000.0,0.0,NULL,49.85
29.0,ev_2,17446.84,35000.0,0.0,NULL,49.85
29.0,ev_3,17454.63,35000.0,0.0,NULL,49.87
29.0,ev_4,17459.13,35000.0,0.0,NULL,49.88
29.0,ev_5,17486.38,35000.0,0.0,NULL,49.96
30.0,ev_0,17433.95,35000.0,0.0,NULL,49.81
30.0,ev_1,17462.73,35000.0,0.0,NULL,49.89
30.0,ev_2,17447.13,35000.0,0.0,NULL,49.85
30.0,ev_3,17451.9,35000.0,0.0,NULL,49.86
30.0,ev_4,17458.18,35000.0,0.0,NULL,49.88
30.0,ev_5,17479.0,35000.0,0.0,NULL,49.94
30.0,ev_6,17500.0,35000.0,0.0,NULL,50.0
31.0,ev_0,17431.29,35000.0,0.0,NULL,49.8
31.0,ev_1,17471.52,35000.0,0.0,NULL,49.92
31.0,ev_2,17447.48,35000.0,0.0,NULL,49.85
31.0,ev_3,17451.92,35000.0,0.0,NULL,49.86
31.0,ev_4,17456.91,35000.0,0.0,NULL,49.88
31.0,ev_5,17468.96,35000.0,0.0,NULL,49.91
31.0,ev_6,17499.23,35000.0,0.0,NULL,50.0
32.0,ev_0,17432.64,35000.0,0.0,NULL,49.81
32.0,ev_1,17478.04,35000.0,0.0,NULL,49.94
32.0,ev_2,17440.25,35000.0,0.0,NULL,49.83
32.0,ev_3,17452.01,35000.0,0.0,NULL,49.86
32.0,ev_4,17450.99,35000.0,0.0,NULL,49.86
32.0,ev_5,17472.46,35000.0,0.0,NULL,49.92
32.0,ev_6,17496.79,35000.0,0.0,NULL,49.99
33.0,ev_0,17433.32,35000.0,0.0,NULL,49.81
33.0,ev_1,17478.37,35000.0,0.0,NULL,49.94
33.0,ev_2,17444.39,35000.0,0.0,NULL,49.84
33.0,ev_3,17444.38,35000.0,0.0,NULL,49.84
33.0,ev_4,17451.47,35000.0,0.0,NULL,49.86
33.0,ev_5,17468.68,35000.0,0.0,NULL,49.91
33.0,ev_6,17492.21,35000.0,0.0,NULL,49.98
34.0,ev_0,17431.34,35000.0,0.0,NULL,49.8
34.0,ev_1,17478.35,35000.0,0.0,NULL,49.94
34.0,ev_2,17444.48,35000.0,0.0,NULL,49.84
34.0,ev_3,17448.22,35000.0,0.0,NULL,49.85
34.0,ev_4,17451.23,35000.0,0.0,NULL,49.86
34.0,ev_5,17469.79,35000.0,0.0,NULL,49.91
34.0,ev_6,17487.29,35000.0,0.0,NULL,49.96
35.0,ev_0,17428.44,35000.0,0.0,NULL,49.8
35.0,ev_1,17478.32,35000.0,0.0,NULL,49.94
35.0,ev_2,17440.36,35000.0,0.0,NULL,49.83
35.0,ev_3,17442.14,35000.0,0.0,NULL,49.83
35.0,ev_4,17451.76,35000.0,0.0,NULL,49.86
35.0,ev_5,17470.32,35000.0,0.0,NULL,49.92
35.0,ev_6,17481.13,35000.0,0.0,NULL,49.95
35.0,ev_7,17500.0,35000.0,0.0,NULL,50.0
36.0,ev_0,17427.27,35000.0,0.0,NULL,49.79
36.0,ev_1,17478.29,35000.0,0.0,NULL,49.94
36.0,ev_2,17438.58,35000.0,0.0,NULL,49.82
36.0,ev_3,17443.75,35000.0,0.0,NULL,49.84
36.0,ev_4,17446.16,35000.0,0.0,NULL,49.85
36.0,ev_5,17464.94,35000.0,0.0,NULL,49.9
36.0,ev_6,17471.36,35000.0,0.0,NULL,49.92
36.0,ev_7,17498.39,35000.0,0.0,NULL,50.0
37.0,ev_0,17424.51,35000.0,0.0,NULL,49.78
37.0,ev_1,17478.26,35000.0,0.0,NULL,49.94
37.0,ev_2,17439.78,35000.0,0.0,NULL,49.83
37.0,ev_3,17442.82,35000.0,0.0,NULL,49.84
37.0,ev_4,17450.52,35000.0,0.0,NULL,49.86
37.0,ev_5,17468.27,35000.0,0.0,NULL,49.91
37.0,ev_6,17461.45,35000.0,0.0,NULL,49.89
37.0,ev_7,17494.61,35000.0,0.0,NULL,49.98
38.0,ev_0,17424.04,35000.0,0.0,NULL,49.78
38.0,ev_1,17478.23,35000.0,0.0,NULL,49.94
38.0,ev_2,17433.68,35000.0,0.0,NULL,49.81
38.0,ev_3,17441.2,35000.0,0.0,NULL,49.83
38.0,ev_4,17448.71,35000.0,0.0,NULL,49.85
38.0,ev_5,17466.31,35000.0,0.0,NULL,49.9
38.0,ev_6,17456.93,35000.0,0.0,NULL,49.88
38.0,ev_7,17490.13,35000.0,0.0,NULL,49.97
39.0,ev_0,17426.99,35000.0,0.0,NULL,49.79
39.0,ev_1,17478.21,35000.0,0.0,NULL,49.94
39.0,ev_2,17437.22,35000.0,0.0,NULL,49.82
39.0,ev_3,17441.03,35000.0,0.0,NULL,49.83
39.0,ev_4,17445.68,35000.0,0.0,NULL,49.84
39.0,ev_5,17465.54,35000.0,0.0,NULL,49.9
39.0,ev_6,17455.5,35000.0,0.0,NULL,49.87
39.0,ev_7,17484.07,35000.0,0.0,NULL,49.95
40.0,ev_0,17423.26,35000.0,0.0,NULL,49.78
40.0,ev_1,17478.18,35000.0,0.0,NULL,49.94
40.0,ev_2,17437.15,35000.0,0.0,NULL,49.82
40.0,ev_3,17442.41,35000.0,0.0,NULL,49.84
40.0,ev_4,17447.58,35000.0,0.0,NULL,49.85
40.0,ev_5,17465.56,35000.0,0.0,NULL,49.9
40.0,ev_6,17455.69,35000.0,0.0,NULL,49.87
40.0,ev_7,17476.7,35000.0,0.0,NULL,49.93
41.0,ev_0,17422.42,35000.0,0.0,NULL,49.78
41.0,ev_1,17478.15,35000.0,0.0,NULL,49.94
41.0,ev_2,17436.36,35000.0,0.0,NULL,49.82
41.0,ev_3,17442.54,35000.0,0.0,NULL,49.84
41.0,ev_4,17444.68,35000.0,0.0,NULL,49.84
41.0,ev_5,17462.97,35000.0,0.0,NULL,49.89
41.0,ev_6,17455.01,35000.0,0.0,NULL,49.87
41.0,ev_7,17470.75,35000.0,0.0,NULL,49.92
42.0,ev_0,17421.88,35000.0,0.0,NULL,49.78
42.0,ev_1,17478.12,35000.0,0.0,NULL,49.94
