vehicle_id,start_step,end_step,duration_s,is_cs_stop,cs_id
ev_1,34,66,32.0,False,
ev_3,82,108,26.0,False,
ev_5,90,126,36.0,False,
ev_2,103,141,38.0,False,
ev_4,130,144,14.0,False,
ev_3,132,150,18.0,False,
ev_7,130,156,26.0,False,
ev_6,144,186,42.0,False,
ev_2,166,190,24.0,False,
ev_1,163,193,30.0,False,
ev_7,182,202,20.0,False,
ev_3,196,226,30.0,False,
ev_4,229,241,12.0,False,
ev_5,208,252,44.0,False,
ev_3,248,264,16.0,False,
ev_7,276,290,14.0,False,
ev_3,286,310,24.0,False,
ev_1,296,324,28.0,False,
ev_7,316,362,46.0,False,
ev_3,332,370,38.0,False,
ev_0,106,406,300.0,False,
ev_5,385,429,44.0,False,
ev_1,430,454,24.0,False,
ev_0,446,476,30.0,False,
ev_7,456,484,28.0,False,
ev_3,459,495,36.0,False,
ev_1,480,496,16.0,False,
ev_7,510,528,18.0,False,
ev_3,534,546,12.0,False,
ev_7,569,579,10.0,False,
ev_5,544,582,38.0,False,
ev_2,287,587,300.0,False,
ev_0,574,608,34.0,False,
ev_1,597,613,16.0,False,
ev_5,609,631,22.0,False,
ev_0,628,644,16.0,False,
ev_7,657,669,12.0,False,
ev_5,655,669,14.0,False,
ev_1,640,682,42.0,False,
ev_2,662,694,32.0,False,
ev_1,705,715,10.0,False,
ev_2,717,735,18.0,False,
ev_2,756,796,40.0,False,
ev_2,891,901,10.0,False,
ev_2,925,947,22.0,False,
ev_0,686,986,300.0,False,
ev_2,1044,1054,10.0,False,
ev_0,1043,1055,12.0,False,
ev_0,1158,1458,300.0,False,
ev_0,1538,1552,14.0,False,
ev_0,1576,1598,22.0,False,
ev_0,1620,1660,40.0,False,
ev_0,1683,1693,10.0,False,
ev_0,1784,2084,300.0,False,
ev_0,2190,2490,300.0,False,
ev_0,2527,2547,20.0,False,
ev_0,2582,2882,300.0,False,
ev_0,2932,3232,300.0,False,
